31_37_45_29,0.9420727782
29_13_45_31_76,0.9153538240
31_13_29_76,0.9153538240
29_13_31_76,0.9153538240
29_37_45_31,0.9153538240
31_26_45_29,0.8802400985
31_76_29_76,0.8764649351
29_76_31_76,0.8764649351
31_37_29_76,0.8289862285
29_37_45_31_76,0.8081561631
31_49_29_76,0.7994824101
365_31_13_29,0.7955805858
31_470_29_76,0.7871425003
881_45_31_76,0.7871425003
29_76_551_31,0.7871425003
492_13_45_29,0.7871425003
492_13_45_31,0.7871425003
881_45_29_76,0.7871425003
31_6_29_76,0.7871425003
31_547_29_76,0.7871425003
29_470_31_76,0.7871425003
29_555_31_76,0.7871425003
76_555_13_45_29,0.7871425003
6_13_31_76,0.7871425003
547_13_31_76,0.7871425003
12_13_29_76,0.7871425003
664_13_31_76,0.7871425003
547_13_29_76,0.7871425003
491_37_45_29,0.7871425003
31_76_29_470,0.7871425003
29_547_31_76,0.7871425003
1002_13_45_416,0.7778235460
2028_29_26_4337,0.7768235460
3448_3449_12770,0.7748235460
7209_8359_2363,0.7748235460
6638_2013,0.7748235460
6612_2592,0.7748235460
3474_3584,0.7748235460
2028_8413_4075_26_4337,0.7748235460
3554_3489_3551,0.7748235460
3367_3275,0.7748235460
839_17315,0.7748235460
7430_2363,0.7748235460
607_2604,0.7748235460
11429_3857,0.7748235460
1189_3260,0.7748235460
21_6848,0.7748235460
9985_1599,0.7748235460
1070_1391,0.7748235460
1807_39808,0.7748235460
5180_1906,0.7748235460
8413_4075,0.7748235460
8359_2363,0.7748235460
496_111,0.7748235460
664_13_29_31,0.7727634559
664_31_13_29,0.7727634559
31_26_29_470,0.7727634559
13_45_31_29_76,0.7688616315
13_29_0_31_76,0.7688616315
0_31_76_29,0.7688616315
0_29_76_31,0.7688616315
41_29_76_31,0.7688616315
13_29_76_31_76,0.7688616315
13_29_31_76,0.7688616315
29_76_45_31,0.7620370934
31_76_26_45,0.7615807245
31_664_29_76,0.7614235460
664_13_29_76,0.7614235460
29_664_31_76,0.7614235460
31_76_6_13_29_76,0.7614235460
664_13_45_29_76,0.7614235460
664_13_45_31_76,0.7614235460
2363_13_45_29_76,0.7614235460
2503_13_29_31,0.7614235460
2503_13_29_76,0.7614235460
29_6_31_76,0.7614235460
2086_365_31_7210_29,0.7521045918
2086_365_29_7210_31,0.7521045918
31_76_551_664_13_29,0.7511425003
31_76_555_13_29,0.7511425003
12_26_6_13_29,0.7511425003
555_13_45_31,0.7511425003
555_13_45_29,0.7511425003
2363_13_45_29,0.7511425003
31_76_555_13_29_76,0.7511425003
29_76_555_13_31,0.7511425003
