0.9810007600	8 3
0.6794490358	3 10 7
0.6366248856	10 3
0.6280731615	9 18
0.6024593391	9 10
0.5939582190	9 7 8
0.5939582190	7 8
0.5939582190	9 3
0.5939582190	9 8
0.5937823692	3 10
0.5884064948	14 7
0.5884064948	10 7
0.5770110632	10 8
0.5547057086	52 3 4
0.5504064948	17 7
0.5451539845	3 4 7
0.5194064948	9 7
0.5087057086	4 10 3
0.5043298343	9 3 4
0.5001539845	3 4 18
0.5001539845	3 4 10
0.4913039240	180 3
0.4911280742	3 33
0.4783340933	69 72
0.4690390419	3 4
0.4676797984	3 69
0.4660918862	4 4 4
0.4660918862	4 3
0.4653464650	98 3
0.4608910481	3 17
0.4604873178	4 10
0.4604873178	4 7
0.4601280742	3 210
0.4601280742	8 210
0.4569705907	239 3
0.4483086044	4 4
0.4454188666	33 327
0.4453340933	8 1976
0.4397568803	4 4 10
0.4370390419	3 4 91
0.4341991200	4 91
0.4321238152	386 327
0.4320390419	4 4 4 4
0.4320390419	4 3 4
0.4304873178	4 188
0.4292940793	7 9
0.4268950951	7 219 9
0.4244873178	4 170 59
0.4229759181	3 4 219 9
0.4226473959	4 164
0.4226473959	4 239
0.4193286248	122 10
0.4073340933	219 9 8 1976
0.4067947409	72 10
0.4057925243	170 59 3
0.3971915085	14 3
0.3886797984	2956 180 3
0.3837947409	8 170 59
0.3819931009	66 9
0.3806166745	72 33 18
0.3800335734	4 327
0.3778733473	19 2785
0.3738020158	4 8
0.3738020158	8 4
0.3730088727	218 219
0.3728330229	130 59
0.3728330229	2956 180
0.3712603297	3 8
0.3683216232	72 386 327
0.3661689507	7 850
0.3637521999	180 7
0.3630110632	10 7 8
0.3627521999	239 7
0.3627521999	177 7
0.3596677371	7 46
0.3577086055	8 9
0.3556618100	8 2785
0.3548792743	170 59 4
0.3541160130	10 17
0.3541160130	10 9
0.3541160130	9 17
0.3537925243	10 1505 3
0.3532551487	3 4 4 4
0.3492066806	3869 19
0.3488733473	8 3656 3657
0.3466060348	69 3
0.3464593391	7 9 7
0.3449580034	72 33
0.3436618100	8 3089
0.3433847470	8 19 2785
0.3426797984	368 8
0.3426797984	219 3
0.3423667587	8 76
0.3390543106	8 17
0.3373039240	7 368
0.3361057097	219 9
0.3355022841	7 2415
0.3355022841	7 65
0.3353264343	224 9
0.3349908844	7 1005
0.3344718669	3 4 4
0.3344718669	4 3 4 4
0.3343847470	45 46
0.3339457488	18 2254 9
0.3333667587	46 62
0.3317521999	386 18
0.3317521999	28 7
0.3317521999	33 180
0.3313667587	8 154
0.3313667587	8 251
0.3290088727	33 62
0.3284391602	392 9
0.3280110632	17 8
0.3280110632	17 7 8
0.3280110632	7 3
0.3278330229	1556 180
0.3278330229	3 5160
0.3249908844	10 1505
0.3249908844	94 1903
0.3238150346	2785 9
0.3238150346	1777 9
0.3238150346	2254 9
0.3238150346	36 9
0.3238150346	3532 9
0.3234571485	164 33
0.3234571485	599 177
0.3234571485	14 322
0.3234571485	170 59
0.3215916206	4 180
0.3215916206	4 17
0.3192066806	2956 180 10 1505
0.3179705907	9 46 8
0.3165507521	9 4
0.3165507521	17 4
0.3157947409	3 59
0.3140519317	8 10
0.3139705907	14 7 8
0.3138226936	3 10 7 8
0.3136549565	72 33 327
0.3125916206	4 14
0.3104188666	9 8 210
0.3005022841	7 987
0.3003039240	7 368 8
0.2993264343	504 14
0.2991280742	83 210
0.2973847470	3656 3657 3
0.2973847470	63 64
0.2973847470	3656 3657
0.2910007600	72 69
0.2884514148	3 187
0.2866248856	9 8 1976
0.2827080876	250 46
0.2827080876	8 759
0.2827080876	8 3848
0.2763464650	46 8
0.2763298343	180 3 4
0.2753322132	7 405
0.2753322132	7 1588
0.2753322132	180 219
0.2751563634	72 386
0.2689705907	18 8
0.2689705907	180 8
0.2669527505	10 18
0.2657925243	94 7 8
0.2657925243	239 7 8
0.2632408002	180 3 10
0.2632408002	239 3 10
0.2616677371	9 46
0.2499652783	4 219
0.2499652783	4 46
0.2499652783	4 66
0.2487326426	8 46
0.2483869375	34 69
0.2463726857	59 4
