0.9272485232	0 9 5
0.9239525756	0 10 5
0.9226887458	7 0 10
0.9204989772	0 9 10
0.9204989772	0 28 10
0.9204989772	7 9 5
0.9204989772	9 7 5
0.9204989772	9 0 10
0.9128622768	0 28 5
0.9100576757	0 15 5
0.9100576757	28 7 5
0.9100576757	28 0 10
0.8831851129	0 10 10
0.8831851129	7 5 10
0.8758436357	9 5 10
0.8741769690	7 10 10
0.8335236726	28 5 10
0.8322196729	7 9 10
0.8322196729	9 7 10
0.8322196729	28 9 5
0.8295586655	0 10 7
0.8263688970	9 10 0
0.8263688970	7 10 7
0.8263688970	0 10 28
0.8263688970	7 5 9
0.8148086745	9 28 5
0.8148086745	15 0 10
0.8148086745	0 15 10
0.8148086745	15 7 5
0.8001957377	7 5 28
0.7927470173	9 10 10
0.7821724232	0 28 7
0.7821724232	7 9 0
0.7821724232	0 9 7
0.7821724232	9 0 9
0.7821724232	7 0 9
0.7821724232	9 7 0
0.7743456577	9 28 10
0.7743456577	28 7 10
0.7531291036	0 4 10
0.7531291036	17 7 10
0.7531291036	9 0 64
0.7531291036	15 7 10
0.7531291036	17 0 10
0.7531291036	7 0 64
0.7531291036	17 7 5
0.7531291036	28 15 5
0.7485354801	28 7 0
0.7480895927	9 10 7
0.7397640239	15 5 10
0.7368730021	0 64 5
0.7368730021	0 64 10
0.7206881770	107 7 5
0.7206881770	9 0 57
0.7206881770	9 7 71
0.7206881770	9 7 64
0.7206881770	28 0 64
0.7159164334	9 5 28
0.7159164334	0 10 15
0.7159164334	7 5 15
0.7159164334	15 10 0
0.7038931189	7 9 7
0.7038931189	9 7 9
0.7038931189	9 9 7
0.6928445367	28 10 28
0.6928445367	9 10 4
0.6928445367	9 10 28
0.6928445367	15 10 7
0.6928445367	7 10 28
0.6928445367	28 10 7
0.6882500086	15 10 10
0.6828900086	17 5 10
0.6786881770	9 7 57
0.6736881770	9 7 127
0.6733900086	7 71 5
0.6733900086	9 5 64
0.6642561758	0 15 7
0.6642561758	9 0 28
0.6642561758	15 7 0
0.6634558592	7 127 5
0.6604558592	9 71 71
0.6578658219	15 10 15
0.6578658219	17 5 15
0.6578658219	17 5 28
0.6578658219	0 64 7
0.6578658219	9 10 15
0.6578658219	9 64 0
0.6578658219	15 10 28
0.6578658219	0 10 4
0.6578658219	15 5 28
0.6578658219	9 5 15
0.6578658219	28 5 15
0.6496480629	9 15 7
0.6496480629	7 15 7
0.6496480629	7 9 28
0.6496480629	9 28 7
